fare_id,price,currency_type,payment_method,transfers,transfer_duration
437109,7.15,USD,1,,
437110,5.00,USD,1,,
437111,4.50,USD,1,,
437112,4.20,USD,1,,
437113,4.00,USD,1,,
437114,3.60,USD,1,,
437115,3.40,USD,1,,
437116,3.20,USD,1,,
437117,2.95,USD,1,,
437118,2.55,USD,1,,
437119,2.55,USD,1,,
437120,2.55,USD,1,,
437121,2.55,USD,1,,
437122,7.55,USD,1,,
437123,2.55,USD,1,,
437124,2.55,USD,1,,
437125,3.35,USD,1,,
437126,3.95,USD,1,,
437127,4.80,USD,1,,
437128,5.25,USD,1,,
437129,3.35,USD,1,,
437130,5.20,USD,1,,
437131,6.75,USD,1,,
437132,6.05,USD,1,,
437133,6.15,USD,1,,
437134,5.80,USD,1,,
437135,5.25,USD,1,,
437136,5.05,USD,1,,
437137,4.60,USD,1,,
437138,4.05,USD,1,,
437139,3.00,USD,1,,
437140,2.85,USD,1,,
437141,5.50,USD,1,,
437142,5.50,USD,1,,
437143,5.50,USD,1,,
437144,5.50,USD,1,,
437145,5.65,USD,1,,
437146,5.75,USD,1,,
437147,5.90,USD,1,,
437148,6.00,USD,1,,
437149,6.20,USD,1,,
437150,7.95,USD,1,,
437151,5.80,USD,1,,
437152,6.75,USD,1,,
437153,7.05,USD,1,,
437154,6.95,USD,1,,
437155,7.80,USD,1,,
436306,7.55,USD,1,,
436307,4.25,USD,1,,
436308,10.10,USD,1,,
436309,4.25,USD,1,,
436310,8.70,USD,1,,
436311,7.00,USD,1,,
436312,6.70,USD,1,,
436313,6.50,USD,1,,
436314,6.25,USD,1,,
436315,6.15,USD,1,,
436316,6.05,USD,1,,
436317,5.90,USD,1,,
436318,5.75,USD,1,,
436319,5.75,USD,1,,
436320,5.75,USD,1,,
436321,6.15,USD,1,,
436322,6.40,USD,1,,
436323,6.75,USD,1,,
436324,7.10,USD,1,,
436325,7.45,USD,1,,
436326,7.85,USD,1,,
436327,8.50,USD,1,,
436328,8.95,USD,1,,
436329,7.45,USD,1,,
436330,8.90,USD,1,,
436331,9.45,USD,1,,
436332,8.80,USD,1,,
436333,4.25,USD,1,,
436334,8.50,USD,1,,
436335,7.95,USD,1,,
436336,7.80,USD,1,,
436337,7.30,USD,1,,
436338,6.80,USD,1,,
436339,6.10,USD,1,,
436340,5.65,USD,1,,
436341,5.15,USD,1,,
436342,5.15,USD,1,,
436343,5.15,USD,1,,
436344,5.15,USD,1,,
436345,4.95,USD,1,,
436346,4.80,USD,1,,
436347,4.45,USD,1,,
436348,4.25,USD,1,,
436349,4.25,USD,1,,
436350,14.30,USD,1,,
436351,9.50,USD,1,,
436352,10.45,USD,1,,
436353,10.80,USD,1,,
436354,9.65,USD,1,,
436355,10.50,USD,1,,
436356,4.25,USD,1,,
436357,7.55,USD,1,,
436358,10.10,USD,1,,
